,Building_ID,Latitude ,Longitude ,Map_Source
0,3,45.427778,12.319167,"Stampa: Tipografia Commerciale/Venezia, 1981"
1,4,45.426111,12.318333,"Stampa: Tipografia Commerciale/Venezia, 1981"
2,5,45.427778,12.320556,"Stampa: Tipografia Commerciale/Venezia, 1981"
3,6,45.4275,12.321111,"Stampa: Tipografia Commerciale/Venezia, 1981"
4,7,45.426667,12.320833,"Stampa: Tipografia Commerciale/Venezia, 1981"
5,8,45.425833,12.32,"Stampa: Tipografia Commerciale/Venezia, 1981"
6,9,45.425556,12.319167,"Stampa: Tipografia Commerciale/Venezia, 1981"
7,10,45.425,12.319167,"Stampa: Tipografia Commerciale/Venezia, 1981"
8,11,45.424444,12.320833,"Stampa: Tipografia Commerciale/Venezia, 1981"
9,12,45.424167,12.321111,"Stampa: Tipografia Commerciale/Venezia, 1981"
10,13,45.426944,12.322778,"Stampa: Tipografia Commerciale/Venezia, 1981"
11,14,45.425278,12.323333,"Stampa: Tipografia Commerciale/Venezia, 1981"
12,15,45.423611,12.322778,"Stampa: Tipografia Commerciale/Venezia, 1981"
13,16,45.423611,12.323889,"Stampa: Tipografia Commerciale/Venezia, 1981"
14,17,45.425,12.324722,"Stampa: Tipografia Commerciale/Venezia, 1981"
15,18,45.425,12.325,"Stampa: Tipografia Commerciale/Venezia, 1981"
16,19,45.424722,12.325556,"Stampa: Tipografia Commerciale/Venezia, 1981"
17,20,45.425556,12.326667,"Stampa: Tipografia Commerciale/Venezia, 1981"
18,21,45.425278,12.326944,"Stampa: Tipografia Commerciale/Venezia, 1981"
19,22,45.423889,12.326944,"Stampa: Tipografia Commerciale/Venezia, 1981"
20,23,45.424444,12.3275,"Stampa: Tipografia Commerciale/Venezia, 1981"
21,24,45.425,12.328056,"Stampa: Tipografia Commerciale/Venezia, 1981"
22,25,45.425556,12.327778,"Stampa: Tipografia Commerciale/Venezia, 1981"
23,26,45.423611,12.328333,"Stampa: Tipografia Commerciale/Venezia, 1981"
24,27,45.424167,12.329444,"Stampa: Tipografia Commerciale/Venezia, 1981"
25,28,45.424444,12.331667,"Stampa: Tipografia Commerciale/Venezia, 1981"
26,29,45.425278,12.331944,"Stampa: Tipografia Commerciale/Venezia, 1981"
27,30,45.423333,12.332778,"Stampa: Tipografia Commerciale/Venezia, 1981"
28,31,45.425,12.333333,"Stampa: Tipografia Commerciale/Venezia, 1981"
29,32,45.424444,12.333056,"Stampa: Tipografia Commerciale/Venezia, 1981"
30,33,45.425556,12.335,"Stampa: Tipografia Commerciale/Venezia, 1981"
31,34,45.425556,12.336111,"Stampa: Tipografia Commerciale/Venezia, 1981"
32,35,45.425833,12.3375,"Stampa: Tipografia Commerciale/Venezia, 1981"
33,36,45.426389,12.338056,"Stampa: Tipografia Commerciale/Venezia, 1981"
34,37,45.425278,12.338333,"Stampa: Tipografia Commerciale/Venezia, 1981"
35,38,45.424167,12.338056,"Stampa: Tipografia Commerciale/Venezia, 1981"
36,39,45.423611,12.338333,"Stampa: Tipografia Commerciale/Venezia, 1981"
37,40,45.423611,12.338611,"Stampa: Tipografia Commerciale/Venezia, 1981"
38,41,45.427222,12.34,"Stampa: Tipografia Commerciale/Venezia, 1981"
39,42,45.4275,12.340556,"Stampa: Tipografia Commerciale/Venezia, 1981"
40,43,45.4275,12.341667,"Stampa: Tipografia Commerciale/Venezia, 1981"
41,44,45.429167,12.344444,"Stampa: Tipografia Commerciale/Venezia, 1981"
42,45,,,
